2023/06/12 21:17:38 VMs 1, executed 59762, corpus cover 34643, corpus signal 46894, max signal 50841, crashes 0, repro 0
2023/06/12 21:17:48 VMs 1, executed 59892, corpus cover 34660, corpus signal 46917, max signal 50845, crashes 0, repro 0
2023/06/12 21:17:58 VMs 1, executed 60090, corpus cover 34680, corpus signal 46966, max signal 50851, crashes 0, repro 0
2023/06/12 21:18:08 VMs 1, executed 60242, corpus cover 34732, corpus signal 47029, max signal 50857, crashes 0, repro 0
2023/06/12 21:18:18 VMs 1, executed 60362, corpus cover 34735, corpus signal 47042, max signal 50863, crashes 0, repro 0
2023/06/12 21:18:28 VMs 1, executed 60362, corpus cover 34767, corpus signal 47096, max signal 50863, crashes 0, repro 0
2023/06/12 21:18:38 VMs 1, executed 60496, corpus cover 34767, corpus signal 47096, max signal 50894, crashes 0, repro 0
2023/06/12 21:18:48 VMs 1, executed 60629, corpus cover 34767, corpus signal 47096, max signal 51029, crashes 0, repro 0
2023/06/12 21:18:58 VMs 1, executed 60761, corpus cover 34767, corpus signal 47096, max signal 51113, crashes 0, repro 0
2023/06/12 21:19:08 VMs 1, executed 60904, corpus cover 34817, corpus signal 47168, max signal 51140, crashes 0, repro 0
2023/06/12 21:19:18 VMs 1, executed 61022, corpus cover 34829, corpus signal 47190, max signal 51145, crashes 0, repro 0
2023/06/12 21:19:28 VMs 1, executed 61022, corpus cover 34831, corpus signal 47197, max signal 51145, crashes 0, repro 0
2023/06/12 21:19:38 VMs 1, executed 61142, corpus cover 34845, corpus signal 47221, max signal 51296, crashes 0, repro 0
2023/06/12 21:19:48 VMs 1, executed 61244, corpus cover 34847, corpus signal 47229, max signal 51314, crashes 0, repro 0
2023/06/12 21:19:58 VMs 1, executed 61371, corpus cover 34856, corpus signal 47241, max signal 51342, crashes 0, repro 0
2023/06/12 21:20:08 VMs 1, executed 61579, corpus cover 35004, corpus signal 47471, max signal 51347, crashes 0, repro 0
2023/06/12 21:20:18 VMs 1, executed 61854, corpus cover 35026, corpus signal 47513, max signal 51359, crashes 0, repro 0
2023/06/12 21:20:28 VMs 1, executed 61854, corpus cover 35038, corpus signal 47533, max signal 51359, crashes 0, repro 0
2023/06/12 21:20:38 VMs 1, executed 62109, corpus cover 35081, corpus signal 47600, max signal 51400, crashes 0, repro 0
2023/06/12 21:20:48 VMs 1, executed 62533, corpus cover 35120, corpus signal 47863, max signal 51710, crashes 0, repro 0
2023/06/12 21:20:58 VMs 1, executed 62879, corpus cover 35206, corpus signal 47989, max signal 51791, crashes 0, repro 0
2023/06/12 21:21:08 VMs 1, executed 63383, corpus cover 35218, corpus signal 48009, max signal 51820, crashes 0, repro 0
2023/06/12 21:21:18 VMs 1, executed 63664, corpus cover 35242, corpus signal 48042, max signal 51865, crashes 0, repro 0
2023/06/12 21:21:28 VMs 1, executed 63664, corpus cover 35296, corpus signal 48144, max signal 51865, crashes 0, repro 0
2023/06/12 21:21:38 VMs 1, executed 64017, corpus cover 35322, corpus signal 48214, max signal 52013, crashes 0, repro 0
2023/06/12 21:21:48 VMs 1, executed 64481, corpus cover 35322, corpus signal 48214, max signal 52190, crashes 0, repro 0
2023/06/12 21:21:58 VMs 1, executed 64872, corpus cover 35345, corpus signal 48255, max signal 52299, crashes 0, repro 0
2023/06/12 21:22:08 VMs 1, executed 65008, corpus cover 35377, corpus signal 48302, max signal 52311, crashes 0, repro 0
2023/06/12 21:22:18 VMs 1, executed 65149, corpus cover 35380, corpus signal 48309, max signal 52319, crashes 0, repro 0
2023/06/12 21:22:28 VMs 1, executed 65149, corpus cover 35383, corpus signal 48318, max signal 52319, crashes 0, repro 0
2023/06/12 21:22:38 VMs 1, executed 65278, corpus cover 35404, corpus signal 48348, max signal 52322, crashes 0, repro 0
2023/06/12 21:22:48 VMs 1, executed 65403, corpus cover 35465, corpus signal 48430, max signal 52324, crashes 0, repro 0
2023/06/12 21:22:58 VMs 1, executed 65521, corpus cover 35487, corpus signal 48460, max signal 52344, crashes 0, repro 0
2023/06/12 21:23:08 VMs 1, executed 65648, corpus cover 35490, corpus signal 48472, max signal 52402, crashes 0, repro 0
2023/06/12 21:23:18 VMs 1, executed 65771, corpus cover 35500, corpus signal 48482, max signal 52463, crashes 0, repro 0
2023/06/12 21:23:28 VMs 1, executed 65771, corpus cover 35696, corpus signal 48716, max signal 52463, crashes 0, repro 0
2023/06/12 21:23:38 VMs 1, executed 65890, corpus cover 35920, corpus signal 49011, max signal 52973, crashes 0, repro 0
2023/06/12 21:23:48 VMs 1, executed 66013, corpus cover 35932, corpus signal 49024, max signal 52975, crashes 0, repro 0
2023/06/12 21:23:58 VMs 1, executed 66142, corpus cover 35943, corpus signal 49046, max signal 52986, crashes 0, repro 0
2023/06/12 21:24:08 VMs 1, executed 66272, corpus cover 35952, corpus signal 49064, max signal 52988, crashes 0, repro 0
2023/06/12 21:24:18 VMs 1, executed 66393, corpus cover 35968, corpus signal 49095, max signal 52992, crashes 0, repro 0
2023/06/12 21:24:28 VMs 1, executed 66393, corpus cover 35970, corpus signal 49099, max signal 52992, crashes 0, repro 0
2023/06/12 21:24:38 VMs 1, executed 66522, corpus cover 36041, corpus signal 49216, max signal 53028, crashes 0, repro 0
2023/06/12 21:24:48 VMs 1, executed 67067, corpus cover 37014, corpus signal 50148, max signal 54006, crashes 0, repro 0
2023/06/12 21:24:58 VMs 1, executed 67631, corpus cover 37066, corpus signal 50219, max signal 54169, crashes 0, repro 0
2023/06/12 21:25:08 VMs 1, executed 68213, corpus cover 37112, corpus signal 50296, max signal 54242, crashes 0, repro 0
2023/06/12 21:25:18 VMs 1, executed 68904, corpus cover 37185, corpus signal 50409, max signal 54494, crashes 0, repro 0
2023/06/12 21:25:28 VMs 1, executed 68904, corpus cover 37189, corpus signal 50416, max signal 54494, crashes 0, repro 0
2023/06/12 21:25:38 VMs 1, executed 69273, corpus cover 37243, corpus signal 50496, max signal 54574, crashes 0, repro 0
2023/06/12 21:25:49 VMs 1, executed 69961, corpus cover 37444, corpus signal 50794, max signal 54669, crashes 0, repro 0
