2023/03/29 21:00:04 VMs 1, executed 51584, corpus cover 30604, corpus signal 41613, max signal 46289, crashes 0, repro 0
2023/03/29 21:00:14 VMs 1, executed 51794, corpus cover 30604, corpus signal 41613, max signal 46582, crashes 0, repro 0
2023/03/29 21:00:24 VMs 1, executed 51794, corpus cover 30632, corpus signal 41621, max signal 46582, crashes 0, repro 0
2023/03/29 21:00:34 VMs 1, executed 52031, corpus cover 30712, corpus signal 41761, max signal 46729, crashes 0, repro 0
2023/03/29 21:00:44 VMs 1, executed 52688, corpus cover 30739, corpus signal 41844, max signal 46790, crashes 0, repro 0
2023/03/29 21:00:54 VMs 1, executed 53227, corpus cover 30834, corpus signal 41986, max signal 46879, crashes 0, repro 0
2023/03/29 21:01:04 VMs 1, executed 53659, corpus cover 30881, corpus signal 42051, max signal 46923, crashes 0, repro 0
2023/03/29 21:01:14 VMs 1, executed 53914, corpus cover 30923, corpus signal 42114, max signal 46950, crashes 0, repro 0
2023/03/29 21:01:24 VMs 1, executed 53914, corpus cover 30937, corpus signal 42134, max signal 46950, crashes 0, repro 0
2023/03/29 21:01:34 VMs 1, executed 54051, corpus cover 30959, corpus signal 42162, max signal 47126, crashes 0, repro 0
2023/03/29 21:01:44 VMs 1, executed 54180, corpus cover 30961, corpus signal 42165, max signal 47144, crashes 0, repro 0
2023/03/29 21:01:54 VMs 1, executed 54318, corpus cover 30965, corpus signal 42172, max signal 47161, crashes 0, repro 0
2023/03/29 21:02:04 VMs 1, executed 54479, corpus cover 30971, corpus signal 42185, max signal 47202, crashes 0, repro 0
2023/03/29 21:02:14 VMs 1, executed 54602, corpus cover 31004, corpus signal 42230, max signal 47216, crashes 0, repro 0
2023/03/29 21:02:24 VMs 1, executed 54602, corpus cover 31009, corpus signal 42240, max signal 47216, crashes 0, repro 0
2023/03/29 21:02:34 VMs 1, executed 54738, corpus cover 31152, corpus signal 42413, max signal 47235, crashes 0, repro 0
2023/03/29 21:02:44 VMs 1, executed 55116, corpus cover 31152, corpus signal 42414, max signal 47290, crashes 0, repro 0
2023/03/29 21:02:54 VMs 1, executed 55277, corpus cover 31161, corpus signal 42433, max signal 47297, crashes 0, repro 0
2023/03/29 21:03:04 VMs 1, executed 55570, corpus cover 31162, corpus signal 42439, max signal 47528, crashes 0, repro 0
2023/03/29 21:03:14 VMs 1, executed 55836, corpus cover 31211, corpus signal 42512, max signal 47938, crashes 0, repro 0
2023/03/29 21:03:24 VMs 1, executed 55836, corpus cover 31504, corpus signal 42876, max signal 47938, crashes 0, repro 0
